Income_Range,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth
1730.0 - 24206.0,10610,61581,5250,37677,8082,5909,9430,529,927,626,1279,1172
24221.0 - 32218.0,10663,68050,5648,34249,7982,5977,9285,519,826,529,1270,1230
32233.0 - 38361.0,11589,68492,5511,34996,7947,5892,8971,493,862,592,1320,1183
38361.0 - 44931.0,10950,71793,6197,42114,8839,6746,11634,524,953,694,1313,1164
44953.0 - 51717.0,11000,74962,6438,42956,9757,6440,11271,495,914,664,1308,1110
51766.0 - 58821.0,11695,69208,5328,34033,7671,5906,9378,535,919,536,1290,1225
58917.0 - 65526.0,10832,64578,6293,33367,8268,5658,8863,562,923,554,1283,1263
65569.0 - 72159.0,10781,65451,5802,37744,7644,6024,8565,535,938,565,1348,1218
72190.0 - 80573.0,11095,72596,6698,41560,9789,6999,10632,486,963,659,1314,1141
80573.0 - 666666.0,10790,64105,5752,35272,8078,5070,10580,530,925,544,1245,1203
